t_frame_ns,t_detect_ns,t_predict_ns,t_cmd_ns,had_meas,had_hint
762439701678200,762441678376700,762441678571600,762441678571600,0,0
762441732608000,762441822471800,762441822660100,762441822660100,0,0
762441834874600,762441924104600,762441924283500,762441924283500,0,0
762441946026200,762442032862500,762442033084900,762442033084900,0,0
762442056598300,762442143927300,762442144105100,762442144105100,0,0
762442167091400,762442254217000,762442254413200,762442254413200,0,0
762442277941500,762442363187500,762442363373000,762442363373000,0,0
762442375805600,762442461374100,762442461555000,762442461555000,0,0
762442486607800,762442575064400,762442575242100,762442575242100,0,0
762442591622400,762442676109200,762442676287000,762442676287000,0,0
762442688356400,762442774098100,762442774278200,762442774278200,0,0
762442799583500,762442888991800,762442889173900,762442889173900,0,0
762442911492100,762443002116000,762443002299500,762443002299500,0,0
762443015429800,762443101254200,762443101433700,762443101433700,0,0
762443125391900,762443209750000,762443209926400,762443209926400,0,0
762443223262600,762443308480200,762443308676300,762443308676300,0,0
762443333732400,762443420510300,762443420686800,762443420686800,0,0
762443444675100,762443530019700,762443530199600,762443530199600,0,0
762443556315000,762443643812800,762443643994500,762443643994500,0,0
762443667180100,762443752946700,762443753124400,762443753124400,0,0
762443778663900,762443864042400,762443864218100,762443864218100,0,0
762443889446000,762443976498500,762443976675100,762443976675100,0,0
762443993909900,762444080699200,762444080881200,762444080881200,0,0
762444104969800,762444188908100,762444189083800,762444189083800,0,0
762444201866400,762444286161800,762444286335200,762444286335200,0,0
762444313019500,762444403523200,762444403705800,762444403705800,0,0
762444417540300,762444509798800,762444509982900,762444509982900,0,0
762444525371700,762444616276000,762444616459300,762444616459300,0,0
762444640490900,762444727464000,762444727641600,762444727641600,0,0
762444750774900,762444839680500,762444839861100,762444839861100,0,0
762444868769400,762444958554600,762444958735700,762444958735700,0,0
762444973538000,762445057538900,762445057781000,762445057781000,0,0
762445070109100,762445154483100,762445154659700,762445154659700,0,0
762445180840900,762445266224500,762445266402600,762445266402600,0,0
762445291869000,762445376411400,762445376588100,762445376588100,0,0
762445403849600,762445491792000,762445491975800,762445491975800,0,0
762445515527900,762445602936600,762445603112400,762445603112400,0,0
762445625692000,762445711412200,762445711589800,762445711589800,0,0
762445736331000,762445821748400,762445821925300,762445821925300,0,0
762445847886300,762445934261300,762445934440700,762445934440700,0,0
762445951979100,762446038249400,762446038508800,762446038508800,0,0
762446049121000,762446133417800,762446133592800,762446133592800,0,0
762446146230400,762446230704500,762446230877500,762446230877500,0,0
762446257257700,762446347022000,762446347208100,762446347208100,0,0
762446368611300,762446458644800,762446458870800,762446458870800,0,0
762446475381500,762446564560800,762446564748400,762446564748400,0,0
762446584402200,762446672226800,762446672421000,762446672421000,0,0
762446695328200,762446780230400,762446780409300,762446780409300,0,0
762446792632300,762446877810300,762446878057700,762446878057700,0,0
762446902787800,762446987915800,762446988102000,762446988102000,0,0
762447014102900,762447098581900,762447098760300,762447098760300,0,0
762447125425000,762447212421600,762447212598000,762447212598000,0,0
762447229529200,762447315440200,762447315620300,762447315620300,0,0
762447340561700,762447425389800,762447425568000,762447425568000,0,0
762447451841400,762447535956700,762447536159200,762447536159200,0,0
762447562787100,762447650781800,762447650960600,762447650960600,0,0
762447673849100,762447761430100,762447761608100,762447761608100,0,0
762447778700300,762447863975400,762447864151800,762447864151800,0,0
762447889302700,762447973402600,762447973577100,762447973577100,0,0
762447986390400,762448070092400,762448070266000,762448070266000,0,0
762448452811800,762448537897300,762448538073700,762448538073700,0,0
762448564426800,762448651071900,762448651251400,762448651251400,0,0
762448673868400,762448759661100,762448759838000,762448759838000,0,0
762448778238600,762448862770600,762448862945900,762448862945900,0,0
762448875704900,762448960352700,762448960537400,762448960537400,0,0
762448973356600,762449057684700,762449057881300,762449057881300,0,0
762449083812100,762449168043600,762449168231400,762449168231400,0,0
762449194668700,762449279676500,762449279893900,762449279893900,0,0
762449305968200,762449390324400,762449390500900,762449390500900,0,0
762449410034600,762449493634500,762449493808800,762449493808800,0,0
762449507274700,762449591319100,762449591499100,762449591499100,0,0
762449618286900,762449702828500,762449703004200,762449703004200,0,0
762449722683800,762449807253600,762449807431900,762449807431900,0,0
762449820694600,762449905131600,762449905307800,762449905307800,0,0
762449930921000,762450014986200,762450015163200,762450015163200,0,0
762450042042500,762450125383600,762450125559200,762450125559200,0,0
762450153084200,762450237785900,762450237966300,762450237966300,0,0
762450257455000,762450342369400,762450342553900,762450342553900,0,0
762450354863100,762450441060500,762450441236100,762450441236100,0,0
762450465481900,762450550687100,762450550863900,762450550863900,0,0
762450576494600,762450660650200,762450660823800,762450660823800,0,0
762450674249200,762450758555300,762450758735400,762450758735400,0,0
762450778292400,762450864001000,762450864175800,762450864175800,0,0
762450875640000,762450961931000,762450962109700,762450962109700,0,0
762450972544600,762451056759600,762451056934500,762451056934500,0,0
762451764647500,762451848452300,762451848632100,762451848632100,0,0
762451868241100,762451952663900,762451952843400,762451952843400,0,0
762451979456600,762452064029100,762452064208300,762452064208300,0,0
762452090504700,762452174248300,762452174424100,762452174424100,0,0
762452202035500,762452286234300,762452286411800,762452286411800,0,0
762452312724100,762452397461600,762452397637300,762452397637300,0,0
762452423878300,762452508008000,762452508182300,762452508182300,0,0
762452534861300,762452619589800,762452619763800,762452619763800,0,0
762452639137600,762452722940300,762452723118400,762452723118400,0,0
762452736256500,762452819488000,762452819665100,762452819665100,0,0
762452833577700,762452916416800,762452916593700,762452916593700,0,0
762452937967100,762453020306900,762453020482400,762453020482400,0,0
762453034812800,762453117529600,762453117701500,762453117701500,0,0
762453132462200,762453217907900,762453218079600,762453218079600,0,0
762453236491200,762453319980800,762453320158100,762453320158100,0,0
762453333595100,762453416763100,762453416955700,762453416955700,0,0
762453444652300,762453527123800,762453527313300,762453527313300,0,0
762453548770000,762453630628100,762453630802200,762453630802200,0,0
762453646349100,762453729082800,762453729256900,762453729256900,0,0
762453743393700,762453826284600,762453826465000,762453826465000,0,0
762453840672600,762453923992800,762453924171400,762453924171400,0,0
762453951426100,762454033217600,762454033393900,762454033393900,0,0
762454042114400,762454124423000,762454124597700,762454124597700,0,0
762454139214000,762454223597700,762454223770900,762454223770900,0,0
762454236632600,762454319944600,762454320119900,762454320119900,0,0
762454347743900,762454433233800,762454433429100,762454433429100,0,0
762454458921500,762454544058000,762454544238900,762454544238900,0,0
762454569678100,762454654392300,762454654570400,762454654570400,0,0
762454680866200,762454766084900,762454766267800,762454766267800,0,0
762454792052700,762454877747200,762454878009400,762454878009400,0,0
762454903077700,762454988405100,762454988587400,762454988587400,0,0
762455014199000,762455097472600,762455097649800,762455097649800,0,0
762455125180600,762455207312600,762455207489900,762455207489900,0,0
762455236334500,762455319823400,762455320000900,762455320000900,0,0
762455340334400,762455423284100,762455423464100,762455423464100,0,0
762455437769300,762455520668700,762455520850100,762455520850100,0,0
762455548916800,762455630914800,762455631089600,762455631089600,0,0
762455639198300,762455722196200,762455722373800,762455722373800,0,0
762455736368900,762455818971600,762455819147600,762455819147600,0,0
762455833960400,762455916491300,762455916767600,762455916767600,0,0
762455937693100,762456019659900,762456019834300,762456019834300,0,0
762456034862200,762456118665900,762456118844800,762456118844800,0,0
762456132458900,762456215111300,762456215283600,762456215283600,0,0
762456243262200,762456326920600,762456327100300,762456327100300,0,0
762456347681900,762456430785800,762456430957300,762456430957300,0,0
762456444708400,762456526872600,762456527045300,762456527045300,0,0
762456541979000,762456627616400,762456627794300,762456627794300,0,0
762456653144800,762456738558300,762456738777800,762456738777800,0,0
762456764256300,762456848026900,762456848203700,762456848203700,0,0
762456875194800,762456958571200,762456958750600,762456958750600,0,0
762456986327700,762457069060700,762457069238600,762457069238600,0,0
762457090551700,762457172344600,762457172522400,762457172522400,0,0
762457187764800,762457270456600,762457270630100,762457270630100,0,0
762457298792800,762457383161700,762457383341000,762457383341000,0,0
762457403750200,762457487791600,762457487967900,762457487967900,0,0
762457500978400,762457586943700,762457587118100,762457587118100,0,0
762457611827900,762457697756700,762457697931000,762457697931000,0,0
762457723080600,762457808813100,762457808994200,762457808994200,0,0
762457833437400,762457916490500,762457916665800,762457916665800,0,0
762457945001200,762458027475100,762458027679000,762458027679000,0,0
762458035756500,762458118862600,762458119042000,762458119042000,0,0
762458132399800,762458218254500,762458218444100,762458218444100,0,0
762458243249400,762458327706500,762458327886900,762458327886900,0,0
762458354409300,762458437840100,762458438012500,762458438012500,0,0
762458458726800,762458540429800,762458540604300,762458540604300,0,0
762459007328700,762459092658000,762459092839500,762459092839500,0,0
762459111511300,762459194746800,762459194922900,762459194922900,0,0
762459222409100,762459305445700,762459305684000,762459305684000,0,0
762459333554500,762459417785000,762459417962900,762459417962900,0,0
762459444561700,762459528062300,762459528237600,762459528237600,0,0
762459555932000,762459638960500,762459639139200,762459639139200,0,0
762459666685100,762459750216100,762459750397500,762459750397500,0,0
762459778220800,762459861502400,762459861679600,762459861679600,0,0
762459889182100,762459971659400,762459971838800,762459971838800,0,0
762459993253800,762460076430600,762460076607500,762460076607500,0,0
762460090470800,762460173680400,762460173856100,762460173856100,0,0
762460180956900,762460264615900,762460264793300,762460264793300,0,0
762460278281000,762460361325700,762460361503000,762460361503000,0,0
762460375495700,762460459128200,762460459417400,762460459417400,0,0
762460472642500,762460556326100,762460556505500,762460556505500,0,0
762460583548500,762460668846200,762460669027000,762460669027000,0,0
762460681001600,762460765431300,762460765611700,762460765611700,0,0
762460784855100,762460869500600,762460869680800,762460869680800,0,0
762460896477100,762460982524300,762460982739200,762460982739200,0,0
762461007169100,762461091742100,762461091923500,762461091923500,0,0
762461118087700,762461202214600,762461202434800,762461202434800,0,0
762461674850100,762461758018100,762461758199200,762461758199200,0,0
762461771695600,762461856811200,762461857018600,762461857018600,0,0
762461875348100,762461960499300,762461960680900,762461960680900,0,0
762461972604000,762462056601800,762462056780200,762462056780200,0,0
762462083502300,762462166001000,762462166175700,762462166175700,0,0
762462194874100,762462278933000,762462279108500,762462279108500,0,0
762462305678200,762462388999600,762462389176900,762462389176900,0,0
762462416769900,762462500443300,762462500618500,762462500618500,0,0
762462528247500,762462610420000,762462610597000,762462610597000,0,0
762462632483700,762462719305000,762462719495600,762462719495600,0,0
762462743232100,762462827263700,762462827442200,762462827442200,0,0
762462854496200,762462936994100,762462937167100,762462937167100,0,0
762462965678000,762463048265100,762463048441800,762463048441800,0,0
762463062786200,762463145587800,762463145763900,762463145763900,0,0
762463166786200,762463252029800,762463252207600,762463252207600,0,0
762463264149400,762463347233700,762463347411300,762463347411300,0,0
762463375109000,762463457898300,762463458071500,762463458071500,0,0
762463486319000,762463568141900,762463568378600,762463568378600,0,0
762463590646900,762463675649400,762463675824600,762463675824600,0,0
762463688553900,762463772305200,762463772484800,762463772484800,0,0
762463798579400,762463883511000,762463883690500,762463883690500,0,0
762463903035600,762463985458500,762463985637400,762463985637400,0,0
762464000119400,762464083135700,762464083310100,762464083310100,0,0
762464111694400,762464194745900,762464194925600,762464194925600,0,0
762464222203300,762464307126200,762464307305000,762464307305000,0,0
762464333323900,762464416058000,762464416234800,762464416234800,0,0
762464444469500,762464527617600,762464527791800,762464527791800,0,0
762464555679300,762464637357000,762464637550600,762464637550600,0,0
762465896587500,762465980079600,762465980252000,762465980252000,0,0
762466007282700,762466092591400,762466092770100,762466092770100,0,0
762466111247300,762466194220100,762466194395100,762466194395100,0,0
762466208574500,762466290968400,762466291156300,762466291156300,0,0
762466312583600,762466396626900,762466396803000,762466396803000,0,0
